UserID,Date,Day,WorkoutType,Duration_Minutes,Calories_Burned
U0205,22-06-2024,Saturday,HIIT,62,647
U0020,28-01-2024,Sunday,HIIT,75,409
U0461,27-05-2024,Monday,Cycling,52,473
U0352,20-06-2024,Thursday,Cycling,66,285
U0340,01-02-2024,Thursday,Walking,58,203
U0357,16-03-2024,Saturday,HIIT,36,696
U0316,25-05-2024,Saturday,Yoga,71,197
U0403,28-05-2024,Tuesday,HIIT,61,611
U0407,13-02-2024,Tuesday,Walking,30,160
U0345,20-03-2024,Wednesday,Cycling,45,262
U0234,16-04-2024,Tuesday,Walking,44,137
U0336,25-06-2024,Tuesday,Running,33,698
U0238,13-01-2024,Saturday,HIIT,51,691
U0287,01-06-2024,Saturday,Yoga,76,229
U0381,01-05-2024,Wednesday,Strength,53,341
U0249,09-06-2024,Sunday,Cycling,55,289
U0164,18-05-2024,Saturday,Running,37,377
U0033,16-04-2024,Tuesday,Strength,62,231
U0200,29-05-2024,Wednesday,Walking,22,190
U0153,09-04-2024,Tuesday,Strength,88,312
U0140,21-04-2024,Sunday,Strength,23,407
U0431,29-04-2024,Monday,Cycling,88,451
U0043,13-06-2024,Thursday,Strength,37,333
U0109,26-04-2024,Friday,Yoga,63,191
U0241,05-01-2024,Friday,Walking,89,110
U0387,08-01-2024,Monday,Cycling,45,568
U0343,30-01-2024,Tuesday,HIIT,47,660
U0399,11-02-2024,Sunday,Yoga,33,199
U0204,20-02-2024,Tuesday,Running,51,352
U0401,11-01-2024,Thursday,Yoga,88,214
U0007,17-04-2024,Wednesday,Strength,33,435
U0223,15-02-2024,Thursday,Walking,86,223
U0239,21-04-2024,Sunday,Walking,54,162
U0385,28-04-2024,Sunday,HIIT,68,443
U0109,31-03-2024,Sunday,Yoga,63,299
U0265,18-02-2024,Sunday,Running,50,668
U0354,01-05-2024,Wednesday,Walking,82,203
U0355,03-03-2024,Sunday,Yoga,67,255
U0170,31-03-2024,Sunday,Walking,78,149
U0162,31-01-2024,Wednesday,Walking,88,223
U0142,30-05-2024,Thursday,HIIT,56,534
U0155,04-01-2024,Thursday,Walking,88,174
U0358,02-02-2024,Friday,Walking,82,222
U0226,28-03-2024,Thursday,Cycling,26,494
U0038,27-05-2024,Monday,Walking,26,163
U0061,22-05-2024,Wednesday,Strength,48,430
U0441,30-05-2024,Thursday,Strength,59,250
U0321,24-02-2024,Saturday,Yoga,30,164
U0002,14-04-2024,Sunday,Strength,80,347
U0360,26-04-2024,Friday,Running,49,435
U0279,27-02-2024,Tuesday,Walking,39,178
U0305,25-05-2024,Saturday,Yoga,76,296
U0483,10-03-2024,Sunday,HIIT,89,571
U0310,05-03-2024,Tuesday,Running,31,417
U0296,11-01-2024,Thursday,Cycling,80,583
U0224,11-06-2024,Tuesday,Strength,31,370
U0440,11-02-2024,Sunday,Yoga,72,193
U0019,26-04-2024,Friday,Running,60,429
U0423,01-01-2024,Monday,Walking,89,192
U0319,07-05-2024,Tuesday,Walking,76,133
U0475,14-03-2024,Thursday,Strength,82,322
U0160,21-05-2024,Tuesday,Running,90,508
U0332,09-02-2024,Friday,Strength,57,447
U0234,21-05-2024,Tuesday,Cycling,69,556
U0142,16-04-2024,Tuesday,Yoga,84,192
U0297,17-06-2024,Monday,Strength,39,376
U0391,19-05-2024,Sunday,Strength,78,322
U0120,15-04-2024,Monday,Running,60,681
U0254,10-01-2024,Wednesday,Cycling,84,419
U0467,26-04-2024,Friday,Running,38,509
U0174,08-06-2024,Saturday,Walking,70,181
U0321,04-05-2024,Saturday,HIIT,24,466
U0223,26-01-2024,Friday,Walking,32,111
U0167,15-01-2024,Monday,Yoga,65,157
U0290,23-06-2024,Sunday,Cycling,41,290
U0255,29-05-2024,Wednesday,Cycling,49,576
U0461,29-04-2024,Monday,Yoga,89,233
U0328,18-04-2024,Thursday,Walking,52,223
U0055,01-03-2024,Friday,Strength,65,351
U0141,03-01-2024,Wednesday,HIIT,26,660
U0113,11-06-2024,Tuesday,Cycling,52,587
U0463,09-06-2024,Sunday,Walking,25,133
U0047,16-03-2024,Saturday,Yoga,73,153
U0272,08-05-2024,Wednesday,Yoga,41,195
U0240,20-01-2024,Saturday,Cycling,48,595
U0405,11-04-2024,Thursday,Running,53,574
U0300,07-04-2024,Sunday,Walking,67,243
U0168,05-06-2024,Wednesday,Cycling,28,487
U0060,05-02-2024,Monday,Running,24,455
U0070,09-04-2024,Tuesday,Strength,67,500
U0454,16-04-2024,Tuesday,Walking,32,194
U0112,23-04-2024,Tuesday,Strength,50,388
U0032,11-04-2024,Thursday,Yoga,44,143
U0026,26-03-2024,Tuesday,Cycling,36,355
U0111,29-02-2024,Thursday,Yoga,38,190
U0129,14-02-2024,Wednesday,Running,23,367
U0009,14-02-2024,Wednesday,Yoga,26,254
U0244,24-04-2024,Wednesday,Yoga,85,235
U0373,17-06-2024,Monday,HIIT,58,595
U0219,24-06-2024,Monday,Running,82,664
U0034,02-02-2024,Friday,Yoga,90,217
U0259,03-06-2024,Monday,Strength,32,482
U0221,25-04-2024,Thursday,Cycling,72,482
U0161,19-04-2024,Friday,Yoga,52,295
U0426,22-01-2024,Monday,Running,75,349
U0490,23-05-2024,Thursday,HIIT,62,797
U0445,14-01-2024,Sunday,Yoga,59,267
U0337,03-05-2024,Friday,Cycling,33,534
U0294,27-02-2024,Tuesday,Strength,23,336
U0140,28-06-2024,Friday,Yoga,63,166
U0036,06-02-2024,Tuesday,Walking,23,216
U0175,10-02-2024,Saturday,Yoga,59,265
U0081,07-06-2024,Friday,Running,30,439
U0213,10-03-2024,Sunday,Cycling,85,426
U0270,19-06-2024,Wednesday,Yoga,25,273
U0155,24-02-2024,Saturday,Cycling,52,417
U0090,03-02-2024,Saturday,Strength,88,486
U0037,11-04-2024,Thursday,Walking,25,180
U0295,19-04-2024,Friday,HIIT,71,408
U0011,24-03-2024,Sunday,Cycling,78,435
U0125,21-04-2024,Sunday,HIIT,71,731
U0114,26-03-2024,Tuesday,Cycling,29,574
U0464,30-03-2024,Saturday,Yoga,38,157
U0309,09-02-2024,Friday,Walking,29,244
U0390,28-05-2024,Tuesday,Strength,61,425
U0227,10-06-2024,Monday,Yoga,55,210
U0237,25-04-2024,Thursday,Running,27,488
U0197,28-04-2024,Sunday,HIIT,90,683
U0165,03-06-2024,Monday,Strength,84,252
U0366,22-01-2024,Monday,HIIT,42,618
U0313,10-02-2024,Saturday,Yoga,67,224
U0405,10-06-2024,Monday,Walking,62,198
U0146,05-03-2024,Tuesday,Walking,39,179
U0496,16-06-2024,Sunday,Walking,70,196
U0330,25-03-2024,Monday,Cycling,87,580
U0010,02-04-2024,Tuesday,Yoga,43,244
U0080,20-01-2024,Saturday,Yoga,32,254
U0449,07-06-2024,Friday,Cycling,68,333
U0023,15-04-2024,Monday,Yoga,50,192
U0123,20-03-2024,Wednesday,Strength,44,425
U0399,07-04-2024,Sunday,HIIT,87,796
U0027,13-06-2024,Thursday,Strength,67,263
U0391,11-02-2024,Sunday,Yoga,77,231
U0453,30-03-2024,Saturday,Running,73,327
U0042,05-04-2024,Friday,Cycling,23,300
U0071,10-01-2024,Wednesday,Yoga,80,300
U0464,21-01-2024,Sunday,Running,52,410
U0398,14-03-2024,Thursday,Cycling,58,274
U0033,29-01-2024,Monday,Strength,88,494
U0150,19-04-2024,Friday,Running,65,423
U0269,02-04-2024,Tuesday,Running,87,578
U0448,30-04-2024,Tuesday,Running,69,491
U0177,02-03-2024,Saturday,Walking,33,190
U0280,27-03-2024,Wednesday,Walking,42,146
U0416,04-02-2024,Sunday,Running,78,318
U0454,11-01-2024,Thursday,Yoga,59,259
U0386,14-06-2024,Friday,Cycling,56,274
U0410,04-04-2024,Thursday,Strength,71,373
U0355,07-05-2024,Tuesday,Yoga,86,228
U0280,16-03-2024,Saturday,Yoga,33,289
U0309,19-04-2024,Friday,Cycling,76,478
U0141,12-06-2024,Wednesday,Running,29,643
U0488,08-01-2024,Monday,Cycling,76,314
U0186,08-04-2024,Monday,HIIT,24,539
U0228,20-01-2024,Saturday,HIIT,37,682
U0128,30-01-2024,Tuesday,Running,43,555
U0397,07-03-2024,Thursday,Walking,77,131
U0070,19-01-2024,Friday,Strength,42,363
U0364,17-01-2024,Wednesday,HIIT,89,756
U0261,27-02-2024,Tuesday,Running,45,371
U0294,04-04-2024,Thursday,Strength,90,233
U0368,02-05-2024,Thursday,HIIT,72,414
U0329,19-01-2024,Friday,Strength,79,265
U0328,30-05-2024,Thursday,Cycling,36,507
U0156,12-02-2024,Monday,Cycling,61,365
U0129,20-02-2024,Tuesday,Walking,90,236
U0048,08-05-2024,Wednesday,Walking,41,186
U0432,24-05-2024,Friday,Running,23,341
U0393,26-05-2024,Sunday,Strength,23,348
U0248,03-03-2024,Sunday,Walking,71,212
U0213,03-05-2024,Friday,Strength,46,360
U0376,29-03-2024,Friday,Strength,36,487
U0124,29-04-2024,Monday,Running,54,530
U0485,08-04-2024,Monday,HIIT,73,719
U0098,10-02-2024,Saturday,Strength,85,454
U0484,10-04-2024,Wednesday,HIIT,78,374
U0145,06-05-2024,Monday,HIIT,80,570
U0452,08-03-2024,Friday,Walking,66,113
U0292,23-05-2024,Thursday,Cycling,66,397
U0392,20-05-2024,Monday,Yoga,35,220
U0286,03-04-2024,Wednesday,Cycling,45,510
U0020,05-02-2024,Monday,Walking,62,231
U0072,24-03-2024,Sunday,HIIT,60,653
U0260,10-05-2024,Friday,HIIT,82,767
U0189,25-03-2024,Monday,Walking,34,221
U0136,16-06-2024,Sunday,HIIT,49,437
U0323,07-06-2024,Friday,Strength,38,493
U0098,05-01-2024,Friday,Strength,60,304
U0397,05-06-2024,Wednesday,Strength,27,306
U0340,02-05-2024,Thursday,HIIT,68,525
U0182,22-06-2024,Saturday,Walking,53,242
U0153,27-02-2024,Tuesday,Yoga,56,296
U0179,23-05-2024,Thursday,Walking,55,201
U0420,29-03-2024,Friday,Cycling,57,397
U0383,02-05-2024,Thursday,Cycling,45,388
U0316,30-05-2024,Thursday,Cycling,51,592
U0027,26-01-2024,Friday,Strength,62,270
U0476,10-02-2024,Saturday,Strength,80,347
U0331,16-01-2024,Tuesday,Running,49,573
U0479,10-01-2024,Wednesday,Strength,83,204
U0309,28-01-2024,Sunday,Yoga,56,259
U0436,09-05-2024,Thursday,Strength,54,283
U0332,06-03-2024,Wednesday,Walking,43,149
U0090,05-06-2024,Wednesday,Walking,71,124
U0095,05-02-2024,Monday,Strength,61,396
U0386,09-03-2024,Saturday,Yoga,58,122
U0355,01-03-2024,Friday,Running,35,538
U0473,29-06-2024,Saturday,Yoga,35,214
U0245,09-02-2024,Friday,Strength,67,475
U0391,04-03-2024,Monday,Walking,30,244
U0058,16-01-2024,Tuesday,HIIT,84,434
U0438,13-05-2024,Monday,Strength,34,450
U0229,15-01-2024,Monday,Strength,36,488
U0237,21-06-2024,Friday,Yoga,22,120
U0024,18-04-2024,Thursday,Yoga,28,137
U0210,16-02-2024,Friday,Cycling,73,445
U0350,18-06-2024,Tuesday,HIIT,37,625
U0271,02-02-2024,Friday,Walking,48,239
U0218,16-05-2024,Thursday,Strength,49,279
U0480,29-01-2024,Monday,Running,73,614
U0305,09-01-2024,Tuesday,Strength,26,424
U0112,15-01-2024,Monday,Cycling,84,369
U0122,18-03-2024,Monday,Cycling,86,461
U0486,31-05-2024,Friday,Walking,42,112
U0498,29-03-2024,Friday,Walking,68,138
U0154,06-04-2024,Saturday,Cycling,88,373
U0413,28-04-2024,Sunday,Running,72,513
U0131,22-02-2024,Thursday,Yoga,30,143
U0027,09-03-2024,Saturday,Strength,25,486
U0107,26-03-2024,Tuesday,Yoga,21,150
U0204,02-03-2024,Saturday,HIIT,61,623
U0158,07-03-2024,Thursday,Yoga,85,145
U0469,22-02-2024,Thursday,Yoga,60,264
U0009,07-03-2024,Thursday,HIIT,73,467
U0292,03-03-2024,Sunday,Strength,90,331
U0495,13-06-2024,Thursday,Walking,82,239
U0251,17-02-2024,Saturday,HIIT,27,741
U0212,05-02-2024,Monday,Walking,49,216
U0192,16-01-2024,Tuesday,HIIT,81,622
U0211,04-01-2024,Thursday,Running,87,669
U0417,27-06-2024,Thursday,Walking,75,161
U0099,07-06-2024,Friday,HIIT,52,541
U0236,24-05-2024,Friday,Cycling,48,600
U0195,06-04-2024,Saturday,HIIT,80,392
U0433,21-04-2024,Sunday,Walking,62,154
U0462,26-06-2024,Wednesday,HIIT,80,628
U0337,09-01-2024,Tuesday,Cycling,60,356
U0476,20-01-2024,Saturday,Yoga,40,265
U0170,08-04-2024,Monday,Walking,37,125
U0224,29-02-2024,Thursday,Running,63,609
U0016,11-06-2024,Tuesday,Yoga,77,211
U0096,23-06-2024,Sunday,HIIT,68,715
U0043,09-03-2024,Saturday,Cycling,68,574
U0055,24-01-2024,Wednesday,Running,59,527
U0096,20-04-2024,Saturday,Strength,85,245
U0048,01-06-2024,Saturday,HIIT,61,548
U0372,23-05-2024,Thursday,Cycling,86,600
U0155,09-03-2024,Saturday,Strength,38,341
U0248,20-01-2024,Saturday,Yoga,52,246
U0070,18-03-2024,Monday,Running,70,470
U0221,15-06-2024,Saturday,HIIT,37,595
U0091,11-04-2024,Thursday,Yoga,57,245
U0167,06-04-2024,Saturday,Yoga,70,264
U0093,23-06-2024,Sunday,HIIT,23,758
U0426,26-06-2024,Wednesday,Running,72,644
U0338,09-02-2024,Friday,Walking,74,202
U0274,09-05-2024,Thursday,Walking,73,121
U0056,04-03-2024,Monday,Walking,65,202
U0496,25-03-2024,Monday,Strength,33,313
U0286,28-05-2024,Tuesday,Walking,48,250
U0354,08-05-2024,Wednesday,Cycling,64,497
U0060,06-02-2024,Tuesday,Yoga,59,172
U0244,25-01-2024,Thursday,Strength,77,222
U0012,28-03-2024,Thursday,Walking,33,241
U0082,25-03-2024,Monday,HIIT,74,445
U0203,08-01-2024,Monday,Walking,45,154
U0106,12-03-2024,Tuesday,Walking,28,183
U0101,27-04-2024,Saturday,Running,53,643
U0313,10-04-2024,Wednesday,HIIT,34,766
U0471,06-06-2024,Thursday,HIIT,30,472
U0060,16-02-2024,Friday,Yoga,38,227
U0217,17-02-2024,Saturday,Strength,88,484
U0148,05-02-2024,Monday,Cycling,60,567
U0070,19-02-2024,Monday,Strength,84,451
U0251,12-02-2024,Monday,Running,23,689
U0276,14-03-2024,Thursday,Cycling,78,503
U0059,09-03-2024,Saturday,HIIT,66,461
U0053,16-06-2024,Sunday,Cycling,58,480
U0225,31-01-2024,Wednesday,Cycling,46,551
U0085,06-06-2024,Thursday,Cycling,46,280
U0306,17-05-2024,Friday,Cycling,61,399
U0461,22-06-2024,Saturday,Running,37,684
U0360,03-02-2024,Saturday,Cycling,38,414
U0296,10-06-2024,Monday,Yoga,73,139
U0384,12-03-2024,Tuesday,Walking,67,123
U0375,27-04-2024,Saturday,Walking,65,154
U0254,09-03-2024,Saturday,Yoga,56,267
U0404,28-03-2024,Thursday,Walking,26,131
U0476,10-02-2024,Saturday,Strength,78,267
U0082,11-03-2024,Monday,Running,66,428
U0321,19-03-2024,Tuesday,Walking,49,154
U0245,20-01-2024,Saturday,Cycling,48,598
U0419,31-01-2024,Wednesday,Strength,36,396
U0053,21-03-2024,Thursday,Yoga,58,154
U0289,03-01-2024,Wednesday,HIIT,41,560
U0441,25-02-2024,Sunday,Running,32,371
U0162,05-02-2024,Monday,Cycling,55,293
U0399,25-06-2024,Tuesday,Running,58,405
U0152,14-06-2024,Friday,Running,50,553
U0271,04-01-2024,Thursday,Yoga,60,265
U0350,14-02-2024,Wednesday,Strength,29,207
U0021,16-01-2024,Tuesday,Strength,84,412
U0043,12-06-2024,Wednesday,HIIT,88,508
U0262,22-02-2024,Thursday,Cycling,88,450
U0374,02-03-2024,Saturday,Running,51,344
U0159,19-06-2024,Wednesday,Walking,42,227
U0488,29-03-2024,Friday,HIIT,86,414
U0376,31-01-2024,Wednesday,Running,62,519
U0322,20-01-2024,Saturday,Strength,78,455
U0086,04-04-2024,Thursday,Cycling,52,302
U0002,12-01-2024,Friday,Running,51,323
U0477,10-01-2024,Wednesday,HIIT,73,718
U0139,20-01-2024,Saturday,HIIT,67,441
U0412,12-05-2024,Sunday,Running,71,335
U0284,26-04-2024,Friday,Running,67,402
U0238,04-04-2024,Thursday,HIIT,83,427
U0478,14-04-2024,Sunday,Running,49,577
U0389,17-06-2024,Monday,Strength,59,321
U0493,16-01-2024,Tuesday,Cycling,55,272
U0235,22-01-2024,Monday,HIIT,32,388
U0032,21-04-2024,Sunday,Walking,36,200
U0359,24-03-2024,Sunday,Yoga,77,139
U0056,09-02-2024,Friday,Running,41,530
U0184,23-02-2024,Friday,Strength,59,246
U0424,29-06-2024,Saturday,Walking,25,163
U0496,01-04-2024,Monday,Strength,85,333
U0016,13-04-2024,Saturday,Strength,90,252
U0063,04-01-2024,Thursday,Running,48,366
U0299,30-05-2024,Thursday,Yoga,29,170
U0048,25-03-2024,Monday,Running,25,536
U0255,08-01-2024,Monday,Strength,74,295
U0229,08-02-2024,Thursday,Running,51,631
U0032,23-01-2024,Tuesday,Yoga,69,171
U0407,05-01-2024,Friday,Strength,65,376
U0165,09-04-2024,Tuesday,Yoga,43,272
U0030,30-04-2024,Tuesday,HIIT,65,401
U0337,02-03-2024,Saturday,Yoga,88,176
U0182,14-02-2024,Wednesday,Cycling,50,412
U0361,28-06-2024,Friday,Yoga,38,246
U0252,10-01-2024,Wednesday,Running,27,419
U0001,25-03-2024,Monday,HIIT,45,380
U0076,30-05-2024,Thursday,Walking,38,195
U0361,18-06-2024,Tuesday,Strength,32,269
U0406,12-06-2024,Wednesday,Strength,60,382
U0418,14-02-2024,Wednesday,Strength,59,290
U0486,28-06-2024,Friday,HIIT,70,658
U0472,05-06-2024,Wednesday,Cycling,33,322
U0164,12-02-2024,Monday,Walking,31,102
U0136,23-02-2024,Friday,Cycling,28,381
U0225,17-04-2024,Wednesday,Cycling,72,443
U0425,02-05-2024,Thursday,HIIT,48,500
U0164,07-03-2024,Thursday,Running,29,475
U0281,24-01-2024,Wednesday,Yoga,81,230
U0081,14-01-2024,Sunday,Running,62,405
U0136,18-06-2024,Tuesday,Yoga,58,132
U0431,05-05-2024,Sunday,Cycling,26,251
U0103,25-01-2024,Thursday,Running,46,387
U0158,11-04-2024,Thursday,Strength,82,478
U0190,07-04-2024,Sunday,Yoga,43,187
U0116,09-03-2024,Saturday,HIIT,27,692
U0414,18-05-2024,Saturday,Strength,49,467
U0352,01-05-2024,Wednesday,HIIT,50,787
U0258,26-05-2024,Sunday,HIIT,38,458
U0065,11-01-2024,Thursday,Strength,30,275
U0164,18-01-2024,Thursday,Running,69,584
U0267,27-04-2024,Saturday,Running,86,700
U0291,30-05-2024,Thursday,HIIT,32,794
U0451,29-03-2024,Friday,Strength,53,492
U0020,14-02-2024,Wednesday,Yoga,71,275
U0456,25-03-2024,Monday,Walking,50,186
U0419,18-03-2024,Monday,Yoga,55,145
U0499,23-04-2024,Tuesday,Yoga,54,274
U0109,14-04-2024,Sunday,Walking,82,140
U0034,20-03-2024,Wednesday,Walking,84,144
U0099,21-02-2024,Wednesday,Running,51,316
U0141,04-04-2024,Thursday,Strength,84,215
U0251,01-06-2024,Saturday,Strength,42,379
U0429,07-03-2024,Thursday,Walking,31,246
U0400,24-02-2024,Saturday,Cycling,48,355
U0443,23-06-2024,Sunday,Running,80,367
U0312,19-03-2024,Tuesday,Walking,55,155
U0239,18-03-2024,Monday,Walking,86,230
U0340,05-04-2024,Friday,HIIT,56,382
U0142,12-06-2024,Wednesday,Yoga,55,286
U0265,02-03-2024,Saturday,Running,71,638
U0336,07-05-2024,Tuesday,Yoga,53,219
U0418,18-02-2024,Sunday,Yoga,48,283
U0260,17-03-2024,Sunday,Cycling,43,299
U0372,23-05-2024,Thursday,Cycling,62,295
U0216,25-03-2024,Monday,Yoga,53,238
U0444,11-06-2024,Tuesday,HIIT,29,794
U0272,17-03-2024,Sunday,Strength,26,375
U0458,27-04-2024,Saturday,Cycling,60,342
U0161,11-06-2024,Tuesday,Running,20,531
U0251,23-01-2024,Tuesday,Cycling,75,469
U0003,10-01-2024,Wednesday,HIIT,45,737
U0098,05-01-2024,Friday,Walking,20,133
U0053,08-04-2024,Monday,HIIT,59,498
U0373,13-05-2024,Monday,HIIT,87,525
U0184,18-02-2024,Sunday,Cycling,71,366
U0302,09-05-2024,Thursday,Cycling,35,583
U0395,16-05-2024,Thursday,HIIT,26,684
U0025,25-06-2024,Tuesday,Running,73,527
U0360,09-02-2024,Friday,Cycling,21,465
U0139,08-06-2024,Saturday,HIIT,37,494
U0402,28-01-2024,Sunday,Strength,45,467
U0361,14-04-2024,Sunday,Yoga,40,247
U0170,01-03-2024,Friday,Running,21,643
U0077,24-01-2024,Wednesday,HIIT,29,583
U0136,28-04-2024,Sunday,Running,32,389
U0219,30-01-2024,Tuesday,Running,25,304
U0458,22-04-2024,Monday,HIIT,54,443
U0206,12-04-2024,Friday,Strength,54,285
U0357,16-01-2024,Tuesday,Cycling,33,552
U0093,05-06-2024,Wednesday,Strength,65,266
U0058,15-04-2024,Monday,Strength,25,360
U0393,27-05-2024,Monday,Walking,48,124
U0222,18-06-2024,Tuesday,Walking,51,242
U0457,05-06-2024,Wednesday,Running,21,629
U0446,12-02-2024,Monday,Running,82,464
U0115,20-05-2024,Monday,Walking,68,246
U0230,23-01-2024,Tuesday,Strength,77,209
U0212,10-01-2024,Wednesday,HIIT,90,610
U0106,16-06-2024,Sunday,Walking,78,216
U0170,23-05-2024,Thursday,HIIT,80,408
U0389,17-06-2024,Monday,Cycling,20,431
U0192,28-06-2024,Friday,Running,25,384
U0313,20-02-2024,Tuesday,Cycling,35,360
U0056,16-04-2024,Tuesday,Running,35,695
U0003,15-05-2024,Wednesday,Walking,26,145
U0355,28-05-2024,Tuesday,Cycling,36,448
U0215,04-06-2024,Tuesday,Walking,51,134
U0071,15-04-2024,Monday,HIIT,85,673
U0103,23-02-2024,Friday,HIIT,57,713
U0258,18-05-2024,Saturday,Walking,61,249
U0293,19-06-2024,Wednesday,Walking,73,103
U0268,28-01-2024,Sunday,Running,68,374
U0385,11-02-2024,Sunday,Yoga,52,296
U0017,01-04-2024,Monday,Strength,33,314
U0200,01-03-2024,Friday,HIIT,56,548
U0490,24-06-2024,Monday,Yoga,90,184
U0425,27-02-2024,Tuesday,Walking,67,149
U0151,24-04-2024,Wednesday,Cycling,29,338
U0220,12-03-2024,Tuesday,HIIT,53,352
U0239,09-02-2024,Friday,Running,39,465
U0282,01-04-2024,Monday,Running,60,569
U0082,16-04-2024,Tuesday,HIIT,88,459
U0170,02-04-2024,Tuesday,Yoga,47,255
U0059,20-06-2024,Thursday,Yoga,77,277
U0196,30-01-2024,Tuesday,Strength,52,464
U0264,10-05-2024,Friday,Strength,82,298
U0043,25-01-2024,Thursday,Cycling,88,253
U0443,24-06-2024,Monday,Strength,33,422
U0383,24-06-2024,Monday,Cycling,23,419
U0092,05-03-2024,Tuesday,HIIT,29,548
U0323,13-04-2024,Saturday,Strength,60,260
U0329,07-06-2024,Friday,Running,25,658
U0403,24-06-2024,Monday,Yoga,31,217
U0243,10-02-2024,Saturday,HIIT,48,674
U0153,22-06-2024,Saturday,Walking,67,110
U0003,26-05-2024,Sunday,HIIT,70,457
U0109,15-04-2024,Monday,Walking,85,164
U0100,30-01-2024,Tuesday,Cycling,26,531
U0344,18-01-2024,Thursday,Yoga,32,244
U0344,16-06-2024,Sunday,Cycling,32,567
U0231,25-03-2024,Monday,HIIT,59,640
U0414,21-03-2024,Thursday,Strength,41,313
U0142,02-04-2024,Tuesday,Cycling,62,486
U0250,21-05-2024,Tuesday,Running,42,630
U0457,17-05-2024,Friday,Cycling,53,570
U0324,08-01-2024,Monday,HIIT,71,632
U0279,18-05-2024,Saturday,Strength,39,348
U0257,10-05-2024,Friday,Running,70,486
U0388,11-05-2024,Saturday,Cycling,77,341
U0377,03-05-2024,Friday,Yoga,25,179
U0120,11-01-2024,Thursday,Walking,46,111
U0021,15-06-2024,Saturday,Yoga,33,282
U0297,19-05-2024,Sunday,HIIT,42,650
U0265,05-03-2024,Tuesday,Strength,48,376
U0455,03-06-2024,Monday,Running,84,371
U0330,12-03-2024,Tuesday,Cycling,39,330
U0213,25-03-2024,Monday,Walking,34,141
U0332,15-04-2024,Monday,Running,51,322
U0021,26-05-2024,Sunday,Cycling,27,382
U0327,05-01-2024,Friday,Walking,56,223
U0088,26-02-2024,Monday,Strength,38,461
U0371,24-06-2024,Monday,Yoga,78,137
U0068,28-01-2024,Sunday,Running,45,567
U0311,25-01-2024,Thursday,Cycling,80,557
U0048,03-05-2024,Friday,Walking,36,207
U0190,12-01-2024,Friday,Walking,87,250
U0412,27-06-2024,Thursday,HIIT,32,742
U0466,22-01-2024,Monday,Yoga,89,168
U0296,13-05-2024,Monday,Running,86,303
U0210,02-04-2024,Tuesday,Running,39,518
U0217,24-05-2024,Friday,Yoga,55,172
U0248,15-02-2024,Thursday,Yoga,81,267
U0377,05-02-2024,Monday,Walking,35,154
U0261,12-04-2024,Friday,Yoga,90,300
U0494,11-06-2024,Tuesday,Running,31,374
U0135,26-02-2024,Monday,Yoga,30,218
U0147,01-06-2024,Saturday,Running,42,627
U0147,19-02-2024,Monday,Running,85,564
U0185,02-03-2024,Saturday,Walking,20,201
